"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"68","Northern Illinois","Eastern Michigan",31.5,34,28.8189296722412,38.5048942565918
"69","Western Kentucky","Middle Tennessee",37.25,29.75,42.814525604248,33.4464302062988
"70","Charlotte","UAB",20,43.5,36.2904472351074,28.6931800842285
"71","NC State","Syracuse",19.25,22.75,30.3375110626221,33.3246307373047
"72","Ohio","Western Michigan",30,30,30.7790927886963,33.0449485778809
"73","Arkansas","BYU",32.5,33.5,27.6374092102051,48.4766845703125
"74","Kent State","Toledo",27.25,34.75,33.3787574768066,41.7094230651855
"75","Louisiana Tech","North Texas",30.5,37,32.544075012207,38.1130409240723
"76","Wisconsin","Michigan State",28.25,21.25,27.9346313476562,37.891487121582
"77","Tulane","South Florida",33.75,21.75,27.6687889099121,34.9208450317383
"78","James Madison","Georgia Southern",39.75,27.25,30.3527126312256,44.1947708129883
"79","Arizona","Washington",29.5,43.5,37.620777130127,32.4997444152832
"80","Rice","Florida Atlantic",26.25,29.75,32.7022514343262,39.7466239929199
"81","Louisiana Monroe","South Alabama",17,34,25.3575439453125,35.2693481445312
"82","Utah State","Colorado State",28.5,17,28.5796813964844,36.7668533325195
"83","Arkansas State","Southern Mississippi",24.5,29,30.1223468780518,33.6562881469727
"84","LSU","Florida",24,26.5,33.0303535461426,35.7550315856934
"85","Mississippi State","Kentucky",27.25,23.25,44.6603927612305,22.1734561920166
"86","Nebraska","Purdue",21,35,30.8594093322754,35.1913604736328
"87","Memphis","East Carolina",27.25,32.75,33.4989280700684,37.5158615112305
"88","Stanford","Notre Dame",19.25,35.75,32.8081817626953,32.6025352478027
"89","Clemson","Florida State",27.25,23.75,29.5551872253418,36.5030059814453
"90","New Mexico","New Mexico State",22,15.5,20.2234497070312,38.9839668273926
"91","USC","Utah",30.75,34.25,32.4433288574219,33.4560356140137
"92","North Carolina","Duke",37.25,30.25,31.9841480255127,32.6808853149414
"93","Washington State","Oregon State",24,27.5,36.6125831604004,30.5424518585205
"94","Air Force","UNLV",30,20,12.0485324859619,51.6277847290039
"95","San Jose State","Fresno State",27.5,19.5,28.4989833831787,37.7280311584473
"96","Nevada","Hawai'i",28.25,21.75,29.5491619110107,38.4185028076172
